fid,ulice,cp_co,ku,cas
1.,Masarykovo nádraží,,"k.ú. Nové Město, parc.č.  2534/1     ",bez omezení
2.,Na Florenci,1412/29,,bez omezení
3.,Na Perštýně,358/8,,bez omezení
4.,Na poříčí,1052/42,,bez omezení
5.,Na příkopě ,391/7,,bez omezení
6.,Na příkopě,852/10,,bez omezení
7.,Na příkopě,959/27,,bez omezení
8.,náměstí Republiky ,1078/1,,bez omezení
9.,Národní,984/15,,bez omezení
10.,Nekázanka ,877/17,,bez omezení
11.,Perlová ,412/1,,bez omezení
12.,Revoluční ,655/1,,bez omezení
13.,Revoluční,1081/4,,bez omezení
14.,U Obecního domu,660/3,,bez omezení
15.,V celnici,1028/10,,bez omezení
16.,Václavské náměstí,822/35,,bez omezení
17.,Václavské náměstí,808/66,,bez omezení
18.,Václavské náměstí,818/45,,bez omezení
19.,Václavské náměstí,840/5,,bez omezení
20.,Vodičkova,791/39- 41,,bez omezení
21.,Vodičkova,699/30,,bez omezení
22.,Husitská,109/66,,bez omezení
23.,Koněvova,1686/112,,bez omezení
24.,Koněvova,1956/214,,bez omezení
25.,náměstí Jiřího z Poděbrad,853/16,,bez omezení
26.,Prokopova,150/19,,bez omezení
27.,Burešova ,1665/5,,bez omezení
28.,Heydukova,897/13,,bez omezení
29.,Chabařovická,1796/13a,,bez omezení
30.,K Ládví,344/4,,bez omezení
31.,Ke Štvanici,379/6,,bez omezení
32.,Klapkova ,41/3,,bez omezení
33.,Klapkova,92/41,,bez omezení
34.,Krynická ,488/31,,bez omezení
35.,Křižíkova,254/5,,bez omezení
36.,Křižíkova,55/65,,bez omezení
37.,Lodžská,401/13,,bez omezení
38.,Ludmilina,1687/3,,bez omezení
39.,Olštýnská,607/1,,bez omezení
40.,Pobřežní,311/1,,bez omezení
41.,Sokolovská,111/36,,bez omezení
42.,Sokolovská,541/198,,bez omezení
43.,Sokolovská,615/138,,bez omezení
44.,Sokolovská,69/14,,bez omezení
45.,Střelničná,1660/31,,bez omezení
46.,Thámova,21/34,,bez omezení
47.,Zhořelecká,514/2,,bez omezení
48.,Českomoravská,2420/15a,,bez omezení
49.,Drahobejlova,1598/39,,bez omezení
50.,Freyova,945/33,,bez omezení
51.,Harrachovská,340/1,,bez omezení
52.,Jablonecká,423/70,,bez omezení
53.,Jablonecká,725/2,,bez omezení
54.,Sokolovská,904/244,,bez omezení
55.,Teplická,492/19,,bez omezení
56.,Veltruská,557/27,,bez omezení
57.,Vysočanské náměstí,214/1,,bez omezení
58.,Jabloňová,3000/15,,10.00-22.00
59.,Jabloňová,2136/11,,10.00-22.00
60.,Kodaňská,485/63,,10.00-22.00
61.,Moskevská,617/58, ,10.00-22.00
62.,Nad Primaskou,526/35,,10.00-22.00
63.,Průběžná,387/41,,10.00-22.00
64.,Topolová,2915/16,,10.00-22.00
65.,Turnovského,263/4,,10.00-22.00
66.,U Slavie,1540/2a,,10.00-22.00
67.,V Olšinách,1017/33,,10.00-22.00
68.,Vršovická,7/27,,10.00-22.00
69.,Vršovická,787/89,,10.00-22.00
70.,Vršovická,1489/31,,10.00-22.00
71.,Žitomírská,347/17,,10.00-22.00
72.,Arkalycká,877/4,,bez omezení
73.,Arkalycká,757/6,,bez omezení
74.,Blažimská,1781/4,,bez omezení
75.,Hlavatého,664/13,,bez omezení
76.,Hráského,2231/25,,bez omezení
77.,Křejpského,1530/4,,bez omezení
78.,Opatovská,874/25,,bez omezení
79.,Opatovská,1753/12,,bez omezení
80.,Valentova,1726/6,,bez omezení
81.,Archeologická,2256/1,,bez omezení
82.,Hábova,1517/5,,bez omezení
83.,Mukařovského,1985/5,,bez omezení
84.,Mukařovského,1986/7,,bez omezení
85.,Mukařovského,2590/2,,bez omezení
86.,Petržílkova,2583/15,,bez omezení
87.,Prusíkova,2577/16,,bez omezení
88.,Chlumecká,765/6,,bez omezení
89.,Mochovská,478/40,,bez omezení
90.,Mochovská,477,,bez omezení
91.,Milánská,311,,bez omezení
92.,Plukovníka Mráze,1182/24,,bez omezení
93.,Švehlova,1391/32,,bez omezení
94.,Švehlova,1435/25,,bez omezení
95.,Veronské nám.,403,,bez omezení
96.,Laudova,1000/28,,bez omezení
97.,Makovského,1179/2,,bez omezení
98.,Rýmařovská,561,,bez omezení 
99.,Třinecká,673,,bez omezení
100.,Malešovská ,1652,,bez omezení
101.,Řevnická,121/1,,10.00-24.00
